mag_x,mag_y,mag_z,pitch,roll
7.0,136.0,-166.0,0.490122,-1.746278
5.0,134.0,-166.0,0.495369,-1.754433
7.0,136.0,-167.0,0.499022,-1.761551
6.0,134.0,-164.0,0.495115,-1.767055
6.0,134.0,-165.0,0.499661,-1.765987
8.0,137.0,-166.0,0.507268,-1.757564
6.0,131.0,-166.0,0.513402,-1.743917
6.0,137.0,-168.0,0.520063,-1.730535
6.0,134.0,-169.0,0.519339,-1.722606
7.0,135.0,-167.0,0.521935,-1.667234
4.0,135.0,-167.0,0.521435,-1.623265
6.0,138.0,-171.0,0.512456,-1.603889
9.0,135.0,-166.0,0.457246,-1.644775
12.0,135.0,-169.0,0.35488,-1.756706
32.0,132.0,-170.0,0.242333,-1.967363
55.0,129.0,-182.0,0.160225,-2.233033
100.0,108.0,-190.0,0.18282,-2.532189
158.0,66.0,-207.0,0.350352,-2.867637
194.0,-19.0,-219.0,0.806316,-3.440134
185.0,-105.0,-227.0,1.713375,-3.875626
136.0,-164.0,-222.0,2.994298,-3.677832
68.0,-201.0,-209.0,4.105997,-3.024375
-15.0,-207.0,-190.0,4.881511,-2.148174
-79.0,-191.0,-169.0,4.979528,-0.734357
-144.0,-161.0,-146.0,4.362413,0.617615
-184.0,-122.0,-135.0,3.1075,1.490179
-205.0,-79.0,-126.0,1.596721,1.874569
-216.0,-37.0,-120.0,0.068561,1.723048
-217.0,3.0,-115.0,-1.249998,1.083742
-210.0,35.0,-114.0,-2.23479,0.14511
-192.0,64.0,-112.0,-2.814454,-0.965536
-168.0,85.0,-114.0,-3.020502,-2.072754
-147.0,104.0,-118.0,-2.874148,-3.035816
-125.0,113.0,-123.0,-2.497736,-3.797757
-97.0,129.0,-126.0,-1.938865,-4.313022
-82.0,135.0,-125.0,-1.355114,-4.548988
-58.0,137.0,-135.0,-0.727995,-4.620163
-6.0,138.0,-145.0,0.003676,-4.644904
92.0,111.0,-165.0,1.314769,-3.950977
159.0,51.0,-192.0,2.087504,-2.970306
191.0,-21.0,-208.0,2.290681,-1.748748
186.0,-85.0,-209.0,1.8111,-0.712797
163.0,-143.0,-208.0,0.893397,-0.129644
123.0,-178.0,-204.0,-0.45274,-0.645398
74.0,-205.0,-197.0,-1.275292,-1.35724
34.0,-212.0,-183.0,-1.776759,-2.122486
9.0,-214.0,-185.0,-2.050747,-2.772684
-18.0,-212.0,-175.0,-2.107254,-3.177604
-31.0,-215.0,-173.0,-2.072808,-3.332081
-30.0,-214.0,-173.0,-2.020622,-3.240932
