mag_x,mag_y,mag_z,pitch,roll
-188.0,-63.0,-131.0,1.815896,-0.454207
-192.0,-64.0,-130.0,1.813525,-0.458264
-190.0,-63.0,-130.0,1.807284,-0.467844
-190.0,-67.0,-130.0,1.797688,-0.483129
-191.0,-62.0,-133.0,1.795987,-0.495671
-193.0,-63.0,-129.0,1.795185,-0.502853
-195.0,-66.0,-130.0,1.795846,-0.505579
-191.0,-61.0,-126.0,1.799169,-0.507618
-192.0,-64.0,-129.0,1.8103,-0.50601
-193.0,-65.0,-130.0,1.818971,-0.505328
-191.0,-61.0,-128.0,1.823701,-0.506207
-195.0,-64.0,-127.0,1.826273,-0.510195
-197.0,-61.0,-130.0,1.832281,-0.505987
-190.0,-64.0,-129.0,1.835372,-0.50092
-196.0,-61.0,-128.0,1.837613,-0.473873
-194.0,-66.0,-126.0,1.818236,-0.453845
-198.0,-57.0,-126.0,1.770658,-0.406054
-199.0,-49.0,-122.0,1.707507,-0.361584
-201.0,-30.0,-119.0,1.607821,-0.287747
-197.0,-5.0,-120.0,1.404914,-0.197883
-190.0,33.0,-114.0,1.070308,-0.088766
-172.0,61.0,-115.0,0.724958,-0.065311
-142.0,84.0,-115.0,0.340404,-0.077315
-121.0,95.0,-119.0,-0.043361,-0.150354
-95.0,106.0,-122.0,-0.333441,-0.256772
-79.0,110.0,-125.0,-0.487906,-0.345595
-71.0,109.0,-124.0,-0.629331,-0.354262
-73.0,112.0,-125.0,-0.73028,-0.305359
-75.0,113.0,-121.0,-0.797871,-0.213733
-77.0,108.0,-128.0,-0.831879,-0.082822
-85.0,104.0,-125.0,-0.826005,0.068397
-93.0,104.0,-121.0,-0.783729,0.223069
-103.0,101.0,-118.0,-0.708149,0.358924
-114.0,98.0,-117.0,-0.573309,0.470274
-133.0,89.0,-116.0,-0.402111,0.533017
-149.0,83.0,-117.0,-0.249826,0.512592
-145.0,81.0,-114.0,-0.143028,0.427186
-145.0,87.0,-116.0,-0.084055,0.289991
-130.0,93.0,-118.0,-0.113535,0.149788
-113.0,99.0,-114.0,-0.216339,-0.000381
-87.0,108.0,-122.0,-0.386504,-0.161798
-39.0,114.0,-133.0,-0.575383,-0.328996
30.0,99.0,-152.0,-0.956291,-0.622486
82.0,77.0,-168.0,-1.326889,-1.103563
121.0,46.0,-183.0,-1.538576,-1.696962
143.0,19.0,-196.0,-1.565343,-2.253962
161.0,-5.0,-199.0,-1.537766,-2.730997
163.0,-22.0,-209.0,-1.351216,-2.991985
168.0,-29.0,-210.0,-1.187898,-3.054942
166.0,-29.0,-209.0,-1.144663,-2.981096
167.0,-25.0,-207.0,-1.191586,-2.801214
161.0,-16.0,-204.0,-1.25612,-2.612858
150.0,3.0,-204.0,-1.299963,-2.448288
153.0,0.0,-202.0,-1.2988,-2.346461
161.0,-16.0,-204.0,-1.254474,-2.324103
167.0,-32.0,-211.0,-1.183683,-2.422519
173.0,-55.0,-217.0,-1.069243,-2.597394
173.0,-90.0,-226.0,-0.910567,-2.802481
164.0,-120.0,-225.0,-0.707758,-2.989783
160.0,-134.0,-231.0,-0.489898,-3.131927
151.0,-145.0,-228.0,-0.282123,-3.197736
147.0,-144.0,-232.0,-0.14771,-3.190101
148.0,-144.0,-228.0,-0.084223,-3.135955
160.0,-135.0,-227.0,-0.109899,-3.053428
