mag_x,mag_y,mag_z,pitch,roll
43.0,97.0,-152.0,-1.335502,-1.333574
42.0,97.0,-151.0,-1.346332,-1.333814
45.0,97.0,-150.0,-1.358897,-1.343712
43.0,95.0,-152.0,-1.357695,-1.350955
46.0,97.0,-150.0,-1.36259,-1.355562
45.0,96.0,-151.0,-1.371985,-1.358552
44.0,96.0,-154.0,-1.387463,-1.360563
43.0,99.0,-147.0,-1.406687,-1.359234
44.0,95.0,-151.0,-1.425448,-1.355385
41.0,96.0,-150.0,-1.443002,-1.351223
43.0,99.0,-152.0,-1.45649,-1.347622
43.0,93.0,-152.0,-1.462107,-1.34972
41.0,94.0,-156.0,-1.455783,-1.349654
42.0,98.0,-151.0,-1.444323,-1.351985
39.0,92.0,-151.0,-1.431355,-1.352724
40.0,97.0,-151.0,-1.410044,-1.353637
45.0,93.0,-148.0,-1.390938,-1.348613
44.0,100.0,-150.0,-1.376841,-1.344872
43.0,95.0,-152.0,-1.371976,-1.342237
41.0,93.0,-152.0,-1.366576,-1.342839
41.0,92.0,-150.0,-1.368739,-1.341194
43.0,99.0,-155.0,-1.374807,-1.342573
42.0,102.0,-151.0,-1.37403,-1.340652
43.0,97.0,-150.0,-1.373135,-1.339868
44.0,98.0,-152.0,-1.360353,-1.337807
42.0,94.0,-150.0,-1.342848,-1.34219
46.0,94.0,-151.0,-1.318889,-1.348537
44.0,100.0,-149.0,-1.295141,-1.356318
44.0,95.0,-149.0,-1.272457,-1.364954
38.0,97.0,-150.0,-1.255679,-1.373612
40.0,95.0,-154.0,-1.260678,-1.571841
55.0,93.0,-161.0,-1.264285,-1.748016
81.0,81.0,-158.0,-1.254229,-1.901356
102.0,62.0,-172.0,-1.249611,-2.225014
139.0,35.0,-188.0,-1.231403,-2.663421
162.0,-14.0,-202.0,-1.137341,-2.915154
175.0,-66.0,-215.0,-0.938782,-3.196971
173.0,-104.0,-224.0,-0.62144,-3.502335
156.0,-134.0,-225.0,-0.259,-3.59014
146.0,-149.0,-225.0,0.049514,-3.518094
136.0,-159.0,-227.0,0.262932,-3.42086
