=== MAGNETIC COMPASS CALIBRATION RESULTS ===

Algorithm: Horizontal Projection with Simple Scaling
Calibration Time: 2025-07-12 16:06:22
Data Points: 426

CALIBRATION PARAMETERS:
Scale X: 0.929887
Scale Y: 1.081548
Center X: -76.715963
Center Y: -51.836568

RAW DATA (MagX, MagY, MagZ, Pitch, Roll)
Processed Data (CalibratedX, CalibratedY)
================================================================================
1: Raw = [X: -111.00, Y: 95.00, Z: -120.00, Pitch: -1.63бу, Roll: -0.77бу] -> Calibrated = [X: -23.28, Y: 152.78]
2: Raw = [X: -112.00, Y: 92.00, Z: -119.00, Pitch: -1.70бу, Roll: -0.82бу] -> Calibrated = [X: -24.09, Y: 149.43]
3: Raw = [X: -113.00, Y: 94.00, Z: -117.00, Pitch: -1.77бу, Roll: -0.88бу] -> Calibrated = [X: -24.94, Y: 151.50]
4: Raw = [X: -109.00, Y: 91.00, Z: -118.00, Pitch: -1.82бу, Roll: -0.93бу] -> Calibrated = [X: -21.10, Y: 148.10]
5: Raw = [X: -111.00, Y: 93.00, Z: -116.00, Pitch: -1.86бу, Roll: -1.00бу] -> Calibrated = [X: -22.94, Y: 150.15]
6: Raw = [X: -107.00, Y: 90.00, Z: -123.00, Pitch: -1.87бу, Roll: -1.05бу] -> Calibrated = [X: -18.99, Y: 146.65]
7: Raw = [X: -112.00, Y: 89.00, Z: -123.00, Pitch: -1.85бу, Roll: -1.08бу] -> Calibrated = [X: -23.68, Y: 145.49]
8: Raw = [X: -109.00, Y: 93.00, Z: -125.00, Pitch: -1.84бу, Roll: -1.11бу] -> Calibrated = [X: -20.87, Y: 149.70]
9: Raw = [X: -111.00, Y: 92.00, Z: -125.00, Pitch: -1.81бу, Roll: -1.13бу] -> Calibrated = [X: -22.77, Y: 148.57]
10: Raw = [X: -110.00, Y: 95.00, Z: -123.00, Pitch: -1.80бу, Roll: -1.15бу] -> Calibrated = [X: -21.94, Y: 151.83]
11: Raw = [X: -107.00, Y: 95.00, Z: -118.00, Pitch: -1.75бу, Roll: -1.12бу] -> Calibrated = [X: -19.39, Y: 151.99]
12: Raw = [X: -108.00, Y: 91.00, Z: -119.00, Pitch: -1.69бу, Roll: -1.08бу] -> Calibrated = [X: -20.41, Y: 147.75]
13: Raw = [X: -108.00, Y: 96.00, Z: -125.00, Pitch: -1.62бу, Roll: -1.03бу] -> Calibrated = [X: -20.38, Y: 153.16]
14: Raw = [X: -107.00, Y: 89.00, Z: -120.00, Pitch: -1.58бу, Roll: -1.00бу] -> Calibrated = [X: -19.67, Y: 145.77]
15: Raw = [X: -108.00, Y: 91.00, Z: -123.00, Pitch: -1.54бу, Roll: -0.97бу] -> Calibrated = [X: -20.60, Y: 147.95]
16: Raw = [X: -109.00, Y: 95.00, Z: -124.00, Pitch: -1.54бу, Roll: -0.96бу] -> Calibrated = [X: -21.51, Y: 152.26]
17: Raw = [X: -112.00, Y: 96.00, Z: -124.00, Pitch: -1.55бу, Roll: -0.97бу] -> Calibrated = [X: -24.26, Y: 153.33]
