=== MAGNETIC COMPASS CALIBRATION RESULTS ===

Algorithm: Horizontal Projection with Simple Scaling
Calibration Time: 2025-07-12 16:12:18
Data Points: 600

CALIBRATION PARAMETERS:
Scale X: 0.928927
Scale Y: 1.082850
Center X: -75.887775
Center Y: -70.072810

RAW DATA (MagX, MagY, MagZ, Pitch, Roll)
Processed Data (CalibratedX, CalibratedY)
================================================================================
1: Raw = [X: -253.00, Y: 32.00, Z: -89.00, Pitch: 0.64бу, Roll: 0.01бу] -> Calibrated = [X: -160.04, Y: 104.74]
2: Raw = [X: -250.00, Y: 29.00, Z: -91.00, Pitch: 0.63бу, Roll: 0.00бу] -> Calibrated = [X: -157.26, Y: 101.48]
3: Raw = [X: -253.00, Y: 30.00, Z: -92.00, Pitch: 0.62бу, Roll: 0.00бу] -> Calibrated = [X: -160.04, Y: 102.56]
4: Raw = [X: -254.00, Y: 30.00, Z: -91.00, Pitch: 0.61бу, Roll: -0.01бу] -> Calibrated = [X: -160.95, Y: 102.54]
5: Raw = [X: -250.00, Y: 28.00, Z: -91.00, Pitch: 0.59бу, Roll: -0.01бу] -> Calibrated = [X: -157.21, Y: 100.37]
6: Raw = [X: -253.00, Y: 26.00, Z: -90.00, Pitch: 0.58бу, Roll: -0.02бу] -> Calibrated = [X: -159.96, Y: 98.19]
7: Raw = [X: -249.00, Y: 27.00, Z: -90.00, Pitch: 0.56бу, Roll: -0.03бу] -> Calibrated = [X: -156.22, Y: 99.26]
8: Raw = [X: -250.00, Y: 27.00, Z: -92.00, Pitch: 0.55бу, Roll: -0.04бу] -> Calibrated = [X: -157.15, Y: 99.24]
9: Raw = [X: -251.00, Y: 30.00, Z: -89.00, Pitch: 0.53бу, Roll: -0.04бу] -> Calibrated = [X: -158.03, Y: 102.49]
10: Raw = [X: -252.00, Y: 29.00, Z: -88.00, Pitch: 0.53бу, Roll: -0.04бу] -> Calibrated = [X: -158.95, Y: 101.42]
11: Raw = [X: -247.00, Y: 27.00, Z: -95.00, Pitch: 0.53бу, Roll: -0.03бу] -> Calibrated = [X: -154.37, Y: 99.27]
12: Raw = [X: -253.00, Y: 26.00, Z: -94.00, Pitch: 0.55бу, Roll: -0.01бу] -> Calibrated = [X: -159.96, Y: 98.21]
13: Raw = [X: -252.00, Y: 29.00, Z: -92.00, Pitch: 0.57бу, Roll: 0.00бу] -> Calibrated = [X: -159.05, Y: 101.48]
14: Raw = [X: -254.00, Y: 29.00, Z: -89.00, Pitch: 0.61бу, Roll: 0.02бу] -> Calibrated = [X: -160.93, Y: 101.51]
15: Raw = [X: -254.00, Y: 27.00, Z: -93.00, Pitch: 0.64бу, Roll: 0.03бу] -> Calibrated = [X: -161.02, Y: 99.36]
16: Raw = [X: -252.00, Y: 28.00, Z: -93.00, Pitch: 0.66бу, Roll: 0.03бу] -> Calibrated = [X: -159.19, Y: 100.45]
17: Raw = [X: -251.00, Y: 24.00, Z: -92.00, Pitch: 0.67бу, Roll: 0.03бу] -> Calibrated = [X: -158.26, Y: 96.12]
18: Raw = [X: -254.00, Y: 27.00, Z: -87.00, Pitch: 0.67бу, Roll: 0.03бу] -> Calibrated = [X: -160.99, Y: 99.36]
19: Raw = [X: -252.00, Y: 30.00, Z: -97.00, Pitch: 0.66бу, Roll: 0.02бу] -> Calibrated = [X: -159.22, Y: 102.60]
20: Raw = [X: -253.00, Y: 30.00, Z: -91.00, Pitch: 0.65бу, Roll: 0.01бу] -> Calibrated = [X: -160.07, Y: 102.58]
21: Raw = [X: -254.00, Y: 28.00, Z: -90.00, Pitch: 0.64бу, Roll: -0.00бу] -> Calibrated = [X: -160.98, Y: 100.39]
22: Raw = [X: -252.00, Y: 27.00, Z: -91.00, Pitch: 0.63бу, Roll: -0.02бу] -> Calibrated = [X: -159.12, Y: 99.27]
23: Raw = [X: -254.00, Y: 28.00, Z: -92.00, Pitch: 0.63бу, Roll: -0.02бу] -> Calibrated = [X: -160.98, Y: 100.36]
24: Raw = [X: -248.00, Y: 29.00, Z: -93.00, Pitch: 0.60бу, Roll: -0.02бу] -> Calibrated = [X: -155.37, Y: 101.44]
25: Raw = [X: -247.00, Y: 42.00, Z: -89.00, Pitch: 0.54бу, Roll: -0.04бу] -> Calibrated = [X: -154.32, Y: 115.49]
26: Raw = [X: -225.00, Y: 55.00, Z: -94.00, Pitch: 0.43бу, Roll: -0.06бу] -> Calibrated = [X: -133.78, Y: 129.53]
27: Raw = [X: -205.00, Y: 71.00, Z: -95.00, Pitch: 0.28бу, Roll: -0.08бу] -> Calibrated = [X: -114.97, Y: 146.81]
28: Raw = [X: -179.00, Y: 88.00, Z: -92.00, Pitch: 0.06бу, Roll: -0.14бу] -> Calibrated = [X: -90.48, Y: 165.11]
29: Raw = [X: -147.00, Y: 98.00, Z: -102.00, Pitch: -0.19бу, Roll: -0.23бу] -> Calibrated = [X: -60.36, Y: 175.75]
30: Raw = [X: -111.00, Y: 96.00, Z: -106.00, Pitch: -0.45бу, Roll: -0.33бу] -> Calibrated = [X: -26.45, Y: 173.35]
31: Raw = [X: -80.00, Y: 101.00, Z: -114.00, Pitch: -0.70бу, Roll: -0.47бу] -> Calibrated = [X: 2.88, Y: 178.41]
32: Raw = [X: -58.00, Y: 95.00, Z: -120.00, Pitch: -0.97бу, Roll: -0.65бу] -> Calibrated = [X: 23.91, Y: 171.44]
33: Raw = [X: -36.00, Y: 90.00, Z: -126.00, Pitch: -1.20бу, Roll: -0.87бу] -> Calibrated = [X: 44.90, Y: 165.44]
34: Raw = [X: -11.00, Y: 78.00, Z: -132.00, Pitch: -1.40бу, Roll: -1.11бу] -> Calibrated = [X: 68.67, Y: 151.75]
35: Raw = [X: 14.00, Y: 69.00, Z: -141.00, Pitch: -1.57бу, Roll: -1.36бу] -> Calibrated = [X: 92.49, Y: 141.15]
36: Raw = [X: 32.00, Y: 53.00, Z: -147.00, Pitch: -1.69бу, Roll: -1.62бу] -> Calibrated = [X: 109.63, Y: 122.98]
37: Raw = [X: 50.00, Y: 42.00, Z: -154.00, Pitch: -1.74бу, Roll: -1.85бу] -> Calibrated = [X: 126.65, Y: 110.20]
38: Raw = [X: 60.00, Y: 33.00, Z: -155.00, Pitch: -1.72бу, Roll: -2.04бу] -> Calibrated = [X: 135.91, Y: 99.88]
39: Raw = [X: 76.00, Y: 18.00, Z: -160.00, Pitch: -1.66бу, Roll: -2.18бу] -> Calibrated = [X: 150.75, Y: 83.06]
40: Raw = [X: 82.00, Y: 14.00, Z: -165.00, Pitch: -1.60бу, Roll: -2.26бу] -> Calibrated = [X: 156.30, Y: 78.26]
41: Raw = [X: 86.00, Y: 4.00, Z: -164.00, Pitch: -1.55бу, Roll: -2.31бу] -> Calibrated = [X: 159.87, Y: 67.35]
42: Raw = [X: 92.00, Y: -2.00, Z: -168.00, Pitch: -1.52бу, Roll: -2.34бу] -> Calibrated = [X: 165.45, Y: 60.58]
43: Raw = [X: 96.00, Y: -9.00, Z: -174.00, Pitch: -1.52бу, Roll: -2.36бу] -> Calibrated = [X: 169.32, Y: 52.68]
44: Raw = [X: 97.00, Y: -9.00, Z: -170.00, Pitch: -1.53бу, Roll: -2.36бу] -> Calibrated = [X: 170.17, Y: 52.88]
45: Raw = [X: 96.00, Y: -11.00, Z: -175.00, Pitch: -1.54бу, Roll: -2.34бу] -> Calibrated = [X: 169.41, Y: 50.56]
46: Raw = [X: 95.00, Y: -12.00, Z: -166.00, Pitch: -1.58бу, Roll: -2.30бу] -> Calibrated = [X: 168.36, Y: 49.98]
47: Raw = [X: 86.00, Y: -5.00, Z: -164.00, Pitch: -1.63бу, Roll: -2.22бу] -> Calibrated = [X: 160.08, Y: 57.87]
48: Raw = [X: 82.00, Y: 5.00, Z: -164.00, Pitch: -1.68бу, Roll: -2.11бу] -> Calibrated = [X: 156.50, Y: 69.05]
49: Raw = [X: 76.00, Y: 18.00, Z: -164.00, Pitch: -1.72бу, Roll: -1.98бу] -> Calibrated = [X: 151.04, Y: 83.49]
50: Raw = [X: 62.00, Y: 33.00, Z: -155.00, Pitch: -1.75бу, Roll: -1.82бу] -> Calibrated = [X: 137.85, Y: 100.51]
51: Raw = [X: 45.00, Y: 50.00, Z: -146.00, Pitch: -1.74бу, Roll: -1.64бу] -> Calibrated = [X: 121.79, Y: 119.72]
52: Raw = [X: 29.00, Y: 62.00, Z: -144.00, Pitch: -1.71бу, Roll: -1.44бу] -> Calibrated = [X: 106.81, Y: 133.31]
53: Raw = [X: 6.00, Y: 73.00, Z: -139.00, Pitch: -1.67бу, Roll: -1.25бу] -> Calibrated = [X: 85.23, Y: 145.82]
54: Raw = [X: -22.00, Y: 81.00, Z: -132.00, Pitch: -1.62бу, Roll: -1.06бу] -> Calibrated = [X: 58.93, Y: 155.11]
55: Raw = [X: -40.00, Y: 92.00, Z: -126.00, Pitch: -1.57бу, Roll: -0.89бу] -> Calibrated = [X: 41.96, Y: 167.55]
56: Raw = [X: -68.00, Y: 99.00, Z: -120.00, Pitch: -1.50бу, Roll: -0.75бу] -> Calibrated = [X: 15.67, Y: 175.55]
57: Raw = [X: -88.00, Y: 99.00, Z: -114.00, Pitch: -1.42бу, Roll: -0.60бу] -> Calibrated = [X: -3.21, Y: 175.95]
58: Raw = [X: -120.00, Y: 101.00, Z: -104.00, Pitch: -1.33бу, Roll: -0.47бу] -> Calibrated = [X: -33.32, Y: 178.49]
59: Raw = [X: -143.00, Y: 94.00, Z: -101.00, Pitch: -1.22бу, Roll: -0.36бу] -> Calibrated = [X: -54.92, Y: 171.14]
60: Raw = [X: -168.00, Y: 90.00, Z: -99.00, Pitch: -1.10бу, Roll: -0.27бу] -> Calibrated = [X: -78.38, Y: 167.00]
61: Raw = [X: -188.00, Y: 85.00, Z: -92.00, Pitch: -0.97бу, Roll: -0.20бу] -> Calibrated = [X: -97.28, Y: 161.76]
