=== CALIBRATION PARAMETERS ===
Scale X: 1.000000
Scale Y: 1.234756
Center X: -9.500000
Center Y: -45.685976
Data Points: 502
Timestamp: 20250711_092534

=== RAW AND CALIBRATED DATA ===
Index, Raw_X, Raw_Y, Calibrated_X, Calibrated_Y
1, -193.000000, -87.000000, -183.500000, -61.737805
2, -193.000000, -83.000000, -183.500000, -56.798780
3, -196.000000, -82.000000, -186.500000, -55.564024
4, -193.000000, -83.000000, -183.500000, -56.798780
5, -194.000000, -84.000000, -184.500000, -58.033537
6, -193.000000, -83.000000, -183.500000, -56.798780
7, -193.000000, -83.000000, -183.500000, -56.798780
8, -199.000000, -85.000000, -189.500000, -59.268293
9, -193.000000, -87.000000, -183.500000, -61.737805
10, -194.000000, -81.000000, -184.500000, -54.329268
11, -190.000000, -81.000000, -180.500000, -54.329268
12, -196.000000, -82.000000, -186.500000, -55.564024
13, -192.000000, -85.000000, -182.500000, -59.268293
14, -192.000000, -88.000000, -182.500000, -62.972561
15, -189.000000, -88.000000, -179.500000, -62.972561
16, -191.000000, -84.000000, -181.500000, -58.033537
17, -194.000000, -83.000000, -184.500000, -56.798780
18, -192.000000, -81.000000, -182.500000, -54.329268
19, -194.000000, -86.000000, -184.500000, -60.503049
20, -188.000000, -86.000000, -178.500000, -60.503049
21, -190.000000, -82.000000, -180.500000, -55.564024
22, -191.000000, -88.000000, -181.500000, -62.972561
23, -191.000000, -85.000000, -181.500000, -59.268293
24, -194.000000, -86.000000, -184.500000, -60.503049
25, -192.000000, -84.000000, -182.500000, -58.033537
26, -192.000000, -83.000000, -182.500000, -56.798780
27, -197.000000, -87.000000, -187.500000, -61.737805
28, -195.000000, -86.000000, -185.500000, -60.503049
29, -194.000000, -85.000000, -184.500000, -59.268293
30, -196.000000, -78.000000, -186.500000, -50.625000
31, -202.000000, -62.000000, -192.500000, -30.868902
32, -206.000000, -38.000000, -196.500000, -1.234756
33, -207.000000, -11.000000, -197.500000, 32.103659
34, -195.000000, 30.000000, -185.500000, 82.728659
35, -160.000000, 72.000000, -150.500000, 134.588415
36, -111.000000, 103.000000, -101.500000, 172.865854
37, -45.000000, 125.000000, -35.500000, 200.030488
38, 24.000000, 119.000000, 33.500000, 192.621951
39, 85.000000, 101.000000, 94.500000, 170.396341
40, 124.000000, 79.000000, 133.500000, 143.231707
41, 157.000000, 44.000000, 166.500000, 100.015244
42, 176.000000, 22.000000, 185.500000, 72.850610
43, 178.000000, 2.000000, 187.500000, 48.155488
44, 188.000000, -20.000000, 197.500000, 20.990854
45, 192.000000, -24.000000, 201.500000, 16.051829
46, 188.000000, -28.000000, 197.500000, 11.112805
47, 189.000000, -19.000000, 198.500000, 22.225610
48, 189.000000, -13.000000, 198.500000, 29.634146
49, 185.000000, 11.000000, 194.500000, 59.268293
50, 172.000000, 27.000000, 181.500000, 79.024390
51, 129.000000, 75.000000, 138.500000, 138.292683
52, 101.000000, 91.000000, 110.500000, 158.048780
53, 64.000000, 111.000000, 73.500000, 182.743902
54, 28.000000, 114.000000, 37.500000, 186.448171
55, -4.000000, 121.000000, 5.500000, 195.091463
56, -27.000000, 124.000000, -17.500000, 198.795732
57, -40.000000, 121.000000, -30.500000, 195.091463
58, -52.000000, 117.000000, -42.500000, 190.152439
59, -54.000000, 121.000000, -44.500000, 195.091463
60, -46.000000, 124.000000, -36.500000, 198.795732
61, -36.000000, 123.000000, -26.500000, 197.560976
62, -24.000000, 123.000000, -14.500000, 197.560976
63, -11.000000, 123.000000, -1.500000, 197.560976
64, -4.000000, 124.000000, 5.500000, 198.795732
65, 11.000000, 127.000000, 20.500000, 202.500000
66, 13.000000, 121.000000, 22.500000, 195.091463
67, 41.000000, 116.000000, 50.500000, 188.917683
68, 93.000000, 96.000000, 102.500000, 164.222561
69, 153.000000, 51.000000, 162.500000, 108.658537
70, 179.000000, -2.000000, 188.500000, 43.216463
71, 187.000000, -47.000000, 196.500000, -12.347561
72, 188.000000, -74.000000, 197.500000, -45.685976
73, 170.000000, -105.000000, 179.500000, -83.963415
74, 167.000000, -120.000000, 176.500000, -102.484756
75, 158.000000, -126.000000, 167.500000, -109.893293
76, 159.000000, -129.000000, 168.500000, -113.597561
77, 168.000000, -114.000000, 177.500000, -95.076220
78, 176.000000, -104.000000, 185.500000, -82.728659
79, 184.000000, -81.000000, 193.500000, -54.329268
80, 193.000000, -53.000000, 202.500000, -19.756098
81, 186.000000, -26.000000, 195.500000, 13.582317
82, 183.000000, 9.000000, 192.500000, 56.798780
83, 160.000000, 40.000000, 169.500000, 95.076220
84, 143.000000, 64.000000, 152.500000, 124.710366
85, 118.000000, 85.000000, 127.500000, 150.640244
86, 94.000000, 95.000000, 103.500000, 162.987805
87, 67.000000, 104.000000, 76.500000, 174.100610
88, 51.000000, 112.000000, 60.500000, 183.978659
89, 32.000000, 117.000000, 41.500000, 190.152439
90, 24.000000, 112.000000, 33.500000, 183.978659
91, 16.000000, 122.000000, 25.500000, 196.326220
92, 23.000000, 123.000000, 32.500000, 197.560976
93, 26.000000, 119.000000, 35.500000, 192.621951
94, 37.000000, 119.000000, 46.500000, 192.621951
95, 45.000000, 113.000000, 54.500000, 185.213415
96, 56.000000, 107.000000, 65.500000, 177.804878
97, 94.000000, 93.000000, 103.500000, 160.518293
98, 152.000000, 52.000000, 161.500000, 109.893293
99, 185.000000, 0.000000, 194.500000, 45.685976
100, 187.000000, -49.000000, 196.500000, -14.817073
101, 179.000000, -91.000000, 188.500000, -66.676829
102, 164.000000, -119.000000, 173.500000, -101.250000
103, 147.000000, -138.000000, 156.500000, -124.710366
104, 139.000000, -148.000000, 148.500000, -137.057927
105, 137.000000, -148.000000, 146.500000, -137.057927
106, 142.000000, -148.000000, 151.500000, -137.057927
107, 152.000000, -141.000000, 161.500000, -128.414634
108, 167.000000, -123.000000, 176.500000, -106.189024
109, 177.000000, -99.000000, 186.500000, -76.554878
110, 188.000000, -66.000000, 197.500000, -35.807927
111, -175.000000, 57.000000, -165.500000, 116.067073
112, -192.000000, 34.000000, -182.500000, 87.667683
113, -197.000000, 15.000000, -187.500000, 64.207317
114, -207.000000, 5.000000, -197.500000, 51.859756
115, -205.000000, -13.000000, -195.500000, 29.634146
116, -209.000000, -19.000000, -199.500000, 22.225610
117, -212.000000, -20.000000, -202.500000, 20.990854
118, -210.000000, -18.000000, -200.500000, 23.460366
119, -210.000000, -13.000000, -200.500000, 29.634146
120, -207.000000, -11.000000, -197.500000, 32.103659
121, -202.000000, 0.000000, -192.500000, 45.685976
122, -200.000000, 1.000000, -190.500000, 46.920732
123, -198.000000, 9.000000, -188.500000, 56.798780
124, -198.000000, 16.000000, -188.500000, 65.442073
125, -199.000000, 16.000000, -189.500000, 65.442073
126, -200.000000, 12.000000, -190.500000, 60.503049
127, -201.000000, 7.000000, -191.500000, 54.329268
128, -208.000000, -25.000000, -198.500000, 14.817073
129, -196.000000, -72.000000, -186.500000, -43.216463
130, -163.000000, -122.000000, -153.500000, -104.954268
131, -128.000000, -158.000000, -118.500000, -149.405488
132, -99.000000, -177.000000, -89.500000, -172.865854
133, -69.000000, -187.000000, -59.500000, -185.213415
134, -47.000000, -191.000000, -37.500000, -190.152439
135, -33.000000, -196.000000, -23.500000, -196.326220
136, -26.000000, -197.000000, -16.500000, -197.560976
137, -22.000000, -201.000000, -12.500000, -202.500000
138, -29.000000, -198.000000, -19.500000, -198.795732
139, -33.000000, -192.000000, -23.500000, -191.387195
140, -47.000000, -194.000000, -37.500000, -193.856707
141, -54.000000, -188.000000, -44.500000, -186.448171
142, -71.000000, -185.000000, -61.500000, -182.743902
143, -89.000000, -180.000000, -79.500000, -176.570122
144, -105.000000, -176.000000, -95.500000, -171.631098
145, -117.000000, -165.000000, -107.500000, -158.048780
146, -133.000000, -158.000000, -123.500000, -149.405488
147, -140.000000, -148.000000, -130.500000, -137.057927
148, -152.000000, -138.000000, -142.500000, -124.710366
149, -158.000000, -134.000000, -148.500000, -119.771341
150, -162.000000, -124.000000, -152.500000, -107.423780
151, -165.000000, -120.000000, -155.500000, -102.484756
152, -171.000000, -125.000000, -161.500000, -108.658537
153, -170.000000, -124.000000, -160.500000, -107.423780
