mag_x,mag_y,mag_z,pitch,roll
28.0,134.0,-168.0,0.533287,-1.80424
29.0,134.0,-168.0,0.541084,-1.801532
25.0,131.0,-172.0,0.550476,-1.792021
33.0,136.0,-174.0,0.554139,-1.781845
27.0,132.0,-167.0,0.550325,-1.768722
26.0,131.0,-171.0,0.542117,-1.753777
28.0,131.0,-175.0,0.5269,-1.736279
27.0,130.0,-167.0,0.512196,-1.722422
23.0,130.0,-171.0,0.490017,-1.710331
25.0,132.0,-171.0,0.48289,-1.699654
29.0,133.0,-169.0,0.474312,-1.676737
29.0,128.0,-172.0,0.441003,-1.673492
51.0,125.0,-176.0,0.420482,-1.692456
88.0,112.0,-186.0,0.366623,-1.795934
132.0,81.0,-200.0,0.3127,-1.974808
180.0,31.0,-212.0,0.512388,-1.967415
198.0,-36.0,-225.0,0.675025,-2.055096
193.0,-91.0,-232.0,0.735958,-2.211521
165.0,-139.0,-228.0,0.841405,-2.250934
128.0,-166.0,-223.0,0.919556,-2.216206
87.0,-191.0,-213.0,0.766406,-2.420491
50.0,-201.0,-204.0,0.650452,-2.481613
16.0,-208.0,-195.0,0.573916,-2.437405
-9.0,-206.0,-186.0,0.457303,-2.396815
-36.0,-202.0,-181.0,0.315811,-2.329661
-47.0,-199.0,-174.0,0.155477,-2.220529
-65.0,-198.0,-173.0,0.013882,-2.087181
-65.0,-200.0,-171.0,-0.072833,-1.896052
-63.0,-200.0,-174.0,-0.129371,-1.686092
-61.0,-197.0,-172.0,-0.1759,-1.488978
-53.0,-201.0,-177.0,-0.15905,-1.393698
-57.0,-198.0,-179.0,-0.115562,-1.344756
-79.0,-190.0,-167.0,-0.02946,-1.342662
-119.0,-175.0,-157.0,0.128897,-1.38936
-155.0,-149.0,-146.0,0.314019,-1.476634
-185.0,-121.0,-134.0,0.510261,-1.51761
-204.0,-84.0,-127.0,0.688053,-1.542473
-217.0,-57.0,-125.0,0.823018,-1.548992
-216.0,-27.0,-120.0,0.874226,-1.535809
-221.0,-2.0,-115.0,0.884183,-1.48643
-209.0,21.0,-111.0,0.863676,-1.374537
-208.0,41.0,-113.0,0.785368,-1.274003
-196.0,59.0,-113.0,0.663512,-1.207622
-185.0,69.0,-113.0,0.538586,-1.167283
-174.0,82.0,-112.0,0.407573,-1.160652
-172.0,82.0,-116.0,0.26389,-1.179417
-164.0,94.0,-116.0,0.152553,-1.189207
-165.0,94.0,-115.0,0.053739,-1.207418
-158.0,95.0,-117.0,-0.038353,-1.205245
-159.0,96.0,-116.0,-0.095363,-1.191355
